time,scanner,advertiser,power,rssi
2022-02-06T15:26:20Z,414089200665806602,1718992394932994344,-11,-79
2022-02-06T15:26:20Z,414089200665806602,1718992394932994344,-11,-83
2022-02-06T15:26:20Z,414089200665806602,1718992394932994344,-11,-78
2022-02-06T15:26:20Z,414089200665806602,1718992394932994344,-11,-83
2022-02-06T15:26:20Z,414089200665806602,1718992394932994344,-11,-81
2022-02-06T15:26:21Z,414089200665806602,1718992394932994344,-11,-78
2022-02-06T15:26:23Z,414089200665806602,1718992394932994344,-11,-79
2022-02-06T15:26:23Z,414089200665806602,1718992394932994344,-11,-83
2022-02-06T15:26:24Z,414089200665806602,1718992394932994344,-11,-82
2022-02-06T15:26:25Z,414089200665806602,1718992394932994344,-11,-83
2022-02-06T15:26:25Z,414089200665806602,1718992394932994344,-11,-83
2022-02-06T15:26:25Z,414089200665806602,1718992394932994344,-11,-79
2022-02-06T15:26:25Z,414089200665806602,1718992394932994344,-11,-82
2022-02-06T15:26:25Z,414089200665806602,1718992394932994344,-11,-79
2022-02-06T15:26:25Z,414089200665806602,1718992394932994344,-11,-82
2022-02-06T15:26:26Z,414089200665806602,1718992394932994344,-11,-83
2022-02-06T15:26:26Z,414089200665806602,1718992394932994344,-11,-82
2022-02-06T15:26:26Z,414089200665806602,1718992394932994344,-11,-79
2022-02-06T15:26:26Z,414089200665806602,1718992394932994344,-11,-83
2022-02-06T15:26:27Z,414089200665806602,1718992394932994344,-11,-79
2022-02-06T15:26:27Z,414089200665806602,1718992394932994344,-11,-83
2022-02-06T15:26:27Z,414089200665806602,1718992394932994344,-11,-81
2022-02-06T15:26:27Z,414089200665806602,1718992394932994344,-11,-83
2022-02-06T15:26:27Z,414089200665806602,1718992394932994344,-11,-81
2022-02-06T15:26:28Z,414089200665806602,1718992394932994344,-11,-79
2022-02-06T15:26:28Z,414089200665806602,1718992394932994344,-11,-81
2022-02-06T15:26:29Z,414089200665806602,1718992394932994344,-11,-79
2022-02-06T15:26:29Z,414089200665806602,1718992394932994344,-11,-79
2022-02-06T15:26:29Z,414089200665806602,1718992394932994344,-11,-83
